parameter,normal_eq,batch_gd,sgd
theta0_intercept,6856.387167133448,6856.387167133442,6855.258125214751
theta1_irradiation,8268.070799484241,8268.070713599342,7656.44273636615
theta2_module_temp,-31.159143511074944,-31.159028373766134,827.8276757837343
theta3_ambient_temp,-15.158484680649053,-15.158520439256645,-227.59534791497822
theta4_sin_hour,-30.79555792746578,-30.79555899583566,-46.63512757816632
theta5_cos_hour,-390.6355645233052,-390.6355640256806,-394.7250746013791
max_abs_theta_GD_minus_normal,,0.00011513730881063111,858.9868192948093
